base_term,term,field,count,quoted_count,quoted_phrase_found,query_translation
Almen-Bottger Test,"""Almen and Bottger's Test""",title/abstract,0,0,False,Almen[Title/Abstract] AND Bottger's[Title/Abstract] AND Test[Title/Abstract]
Almen-Bottger Test,"""Almen Bottger's Test""",title/abstract,0,0,False,Almen[Title/Abstract] AND Bottger's[Title/Abstract] AND Test[Title/Abstract]
Almen-Bottger Test,"""Almen-Bottger's Test""",title/abstract,1489563,0,False,Test[Title/Abstract]
Almen-Bottger Test,"""Test of Almen and Bottger""",title/abstract,0,0,False,Test[Title/Abstract] AND Almen[Title/Abstract] AND Bottger[Title/Abstract]
Almen-Bottger Test,"""Test of Almen Bottger""",title/abstract,0,0,False,Test[Title/Abstract] AND Almen[Title/Abstract] AND Bottger[Title/Abstract]
Almen-Bottger Test,"""Test of Almen-Bottger""",title/abstract,1489563,0,False,Test[Title/Abstract]
Almen-Nylander Test,"""Almen-Nylander Test""",title/abstract,1489563,0,False,Test[Title/Abstract]
Almen-Nylander Test,"""Almen Nylander Test""",title/abstract,0,0,False,Almen[Title/Abstract] AND Nylander[Title/Abstract] AND Test[Title/Abstract]
Almen-Nylander Test,"""Almen and Nylander Test""",title/abstract,0,0,False,Almen[Title/Abstract] AND Nylander[Title/Abstract] AND Test[Title/Abstract]
Almen-Nylander Test,"""Almen's and Nylander's Test""",title/abstract,0,0,False,Almen's[Title/Abstract] AND Nylander's[Title/Abstract] AND Test[Title/Abstract]
Almen-Nylander Test,"""Almen and Nylander's Test""",title/abstract,0,0,False,Almen[Title/Abstract] AND Nylander's[Title/Abstract] AND Test[Title/Abstract]
Almen-Nylander Test,"""Almen Nylander's Test""",title/abstract,0,0,False,Almen[Title/Abstract] AND Nylander's[Title/Abstract] AND Test[Title/Abstract]
Almen-Nylander Test,"""Almen-Nylander's Test""",title/abstract,1489563,0,False,Test[Title/Abstract]
Almen-Nylander Test,"""Test of Almen and Nylander""",title/abstract,0,0,False,Test[Title/Abstract] AND Almen[Title/Abstract] AND Nylander[Title/Abstract]
Almen-Nylander Test,"""Test of Almen Nylander""",title/abstract,0,0,False,Test[Title/Abstract] AND Almen[Title/Abstract] AND Nylander[Title/Abstract]
Almen-Nylander Test,"""Test of Almen-Nylander""",title/abstract,1489563,0,False,Test[Title/Abstract]
Almen Test,"""Almen Test""",title/abstract,1,0,False,Almen[Title/Abstract] AND Test[Title/Abstract]
Almen Test,"""Almen's Test""",title/abstract,3,3,True,"""Almen's Test""[Title/Abstract]"
Almen Test,"""Test of Almen""",title/abstract,1,0,False,Test[Title/Abstract] AND Almen[Title/Abstract]
Ambard Laws,"""Ambard Laws""",title/abstract,2,0,False,Ambard[Title/Abstract] AND Laws[Title/Abstract]
Ambard Laws,"""Ambard's Laws""",title/abstract,1,0,False,Ambard's[Title/Abstract] AND Laws[Title/Abstract]
Ambard Laws,"""Laws of Ambard""",title/abstract,2,0,False,Laws[Title/Abstract] AND Ambard[Title/Abstract]
Apjohn Apparatus,"""Apjohn Apparatus""",title/abstract,92366,0,False,Apparatus[Title/Abstract]
Apjohn Apparatus,"""Apjohn's Apparatus""",title/abstract,92366,0,False,Apparatus[Title/Abstract]
Apjohn Apparatus,"""Apparatus of Apjohn""",title/abstract,92366,0,False,Apparatus[Title/Abstract]
Apjohn Method,"""Apjohn Method""",title/abstract,2134555,0,False,Method[Title/Abstract]
Apjohn Method,"""Apjohn's Method""",title/abstract,2134555,0,False,Method[Title/Abstract]
Apjohn Method,"""Method of Apjohn""",title/abstract,2134555,0,False,Method[Title/Abstract]
Archibald Method,"""Archibald Method""",title/abstract,16,16,True,"""Archibald Method""[Title/Abstract]"
Archibald Method,"""Archibald's Method""",title/abstract,6,6,True,"""Archibald's Method""[Title/Abstract]"
Archibald Method,"""Method of Archibald""",title/abstract,22,0,False,Method[Title/Abstract] AND Archibald[Title/Abstract]
Archibald-Kern Procedure,"""Archibald-Kern Procedure""",title/abstract,1,0,False,Archibald-Kern[Title/Abstract] AND Procedure[Title/Abstract]
Archibald-Kern Procedure,"""Archibald Kern Procedure""",title/abstract,1,0,False,Archibald[Title/Abstract] AND Kern[Title/Abstract] AND Procedure[Title/Abstract]
Archibald-Kern Procedure,"""Archibald and Kern Procedure""",title/abstract,1,0,False,Archibald[Title/Abstract] AND Kern[Title/Abstract] AND Procedure[Title/Abstract]
Archibald-Kern Procedure,"""Archibald's and Kern's Procedure""",title/abstract,0,0,False,Archibald's[Title/Abstract] AND Kern's[Title/Abstract] AND Procedure[Title/Abstract]
Archibald-Kern Procedure,"""Archibald and Kern's Procedure""",title/abstract,0,0,False,Archibald[Title/Abstract] AND Kern's[Title/Abstract] AND Procedure[Title/Abstract]
Archibald-Kern Procedure,"""Archibald Kern's Procedure""",title/abstract,0,0,False,Archibald[Title/Abstract] AND Kern's[Title/Abstract] AND Procedure[Title/Abstract]
Archibald-Kern Procedure,"""Archibald-Kern's Procedure""",title/abstract,699516,0,False,Procedure[Title/Abstract]
Archibald-Kern Procedure,"""Procedure of Archibald and Kern""",title/abstract,1,0,False,Procedure[Title/Abstract] AND Archibald[Title/Abstract] AND Kern[Title/Abstract]
Archibald-Kern Procedure,"""Procedure of Archibald Kern""",title/abstract,1,0,False,Procedure[Title/Abstract] AND Archibald[Title/Abstract] AND Kern[Title/Abstract]
Archibald-Kern Procedure,"""Procedure of Archibald-Kern""",title/abstract,1,0,False,Procedure[Title/Abstract] AND Archibald-Kern[Title/Abstract]
Arnold-Lipliawski Test,"""Arnold-Lipliawski Test""",title/abstract,1489563,0,False,Test[Title/Abstract]
Arnold-Lipliawski Test,"""Arnold Lipliawski Test""",title/abstract,63,0,False,Arnold[Title/Abstract] AND Test[Title/Abstract]
Arnold-Lipliawski Test,"""Arnold and Lipliawski Test""",title/abstract,63,0,False,Arnold[Title/Abstract] AND Test[Title/Abstract]
Arnold-Lipliawski Test,"""Arnold's and Lipliawski's Test""",title/abstract,4,0,False,Arnold's[Title/Abstract] AND Test[Title/Abstract]
Arnold-Lipliawski Test,"""Arnold and Lipliawski's Test""",title/abstract,63,0,False,Arnold[Title/Abstract] AND Test[Title/Abstract]
Arnold-Lipliawski Test,"""Arnold Lipliawski's Test""",title/abstract,63,0,False,Arnold[Title/Abstract] AND Test[Title/Abstract]
Arnold-Lipliawski Test,"""Arnold-Lipliawski's Test""",title/abstract,1489563,0,False,Test[Title/Abstract]
Arnold-Lipliawski Test,"""Test of Arnold and Lipliawski""",title/abstract,63,0,False,Test[Title/Abstract] AND Arnold[Title/Abstract]
Arnold-Lipliawski Test,"""Test of Arnold Lipliawski""",title/abstract,63,0,False,Test[Title/Abstract] AND Arnold[Title/Abstract]
Arnold-Lipliawski Test,"""Test of Arnold-Lipliawski""",title/abstract,1489563,0,False,Test[Title/Abstract]
Arnold Test,"""Arnold Test""",title/abstract,63,0,False,Arnold[Title/Abstract] AND Test[Title/Abstract]
Arnold Test,"""Arnold's Test""",title/abstract,4,0,False,Arnold's[Title/Abstract] AND Test[Title/Abstract]
Arnold Test,"""Test of Arnold""",title/abstract,63,0,False,Test[Title/Abstract] AND Arnold[Title/Abstract]
Aschheim-Zondek Test,"""Aschheim-Zondek Test""",title/abstract,15,15,True,"""Aschheim-Zondek Test""[Title/Abstract]"
Aschheim-Zondek Test,"""Aschheim Zondek Test""",title/abstract,15,15,True,"""Aschheim Zondek Test""[Title/Abstract]"
Aschheim-Zondek Test,"""Aschheim and Zondek Test""",title/abstract,29,0,False,Aschheim[Title/Abstract] AND Zondek[Title/Abstract] AND Test[Title/Abstract]
Aschheim-Zondek Test,"""Aschheim's and Zondek's Test""",title/abstract,0,0,False,Aschheim's[Title/Abstract] AND Zondek's[Title/Abstract] AND Test[Title/Abstract]
Aschheim-Zondek Test,"""Aschheim and Zondek's Test""",title/abstract,0,0,False,Aschheim[Title/Abstract] AND Zondek's[Title/Abstract] AND Test[Title/Abstract]
Aschheim-Zondek Test,"""Aschheim Zondek's Test""",title/abstract,0,0,False,Aschheim[Title/Abstract] AND Zondek's[Title/Abstract] AND Test[Title/Abstract]
Aschheim-Zondek Test,"""Aschheim-Zondek's Test""",title/abstract,0,0,False,Aschheim-Zondek's[Title/Abstract] AND Test[Title/Abstract]
Aschheim-Zondek Test,"""Test of Aschheim and Zondek""",title/abstract,29,0,False,Test[Title/Abstract] AND Aschheim[Title/Abstract] AND Zondek[Title/Abstract]
Aschheim-Zondek Test,"""Test of Aschheim Zondek""",title/abstract,29,0,False,Test[Title/Abstract] AND Aschheim[Title/Abstract] AND Zondek[Title/Abstract]
Aschheim-Zondek Test,"""Test of Aschheim-Zondek""",title/abstract,23,0,False,Test[Title/Abstract] AND Aschheim-Zondek[Title/Abstract]
Astrup Method,"""Astrup Method""",title/abstract,18,18,True,"""Astrup Method""[Title/Abstract]"
Astrup Method,"""Astrup's Method""",title/abstract,5,5,True,"""Astrup's Method""[Title/Abstract]"
Astrup Method,"""Method of Astrup""",title/abstract,53,0,False,Method[Title/Abstract] AND Astrup[Title/Abstract]
Babon Method,"""Babon Method""",title/abstract,1,0,False,Babon[Title/Abstract] AND Method[Title/Abstract]
Babon Method,"""Babon's Method""",title/abstract,2134555,0,False,Method[Title/Abstract]
Babon Method,"""Method of Babon""",title/abstract,1,0,False,Method[Title/Abstract] AND Babon[Title/Abstract]
Baird Flame Photometer,"""Baird Flame Photometer""",title/abstract,1,0,False,Baird[Title/Abstract] AND Flame[Title/Abstract] AND Photometer[Title/Abstract]
Baird Flame Photometer,"""Baird's Flame Photometer""",title/abstract,1,0,False,Baird's[Title/Abstract] AND Flame[Title/Abstract] AND Photometer[Title/Abstract]
Baird Flame Photometer,"""Flame Photometer of Baird""",title/abstract,1,0,False,Flame[Title/Abstract] AND Photometer[Title/Abstract] AND Baird[Title/Abstract]
Baldwin Method,"""Baldwin Method""",title/abstract,36,0,False,Baldwin[Title/Abstract] AND Method[Title/Abstract]
Baldwin Method,"""Baldwin's Method""",title/abstract,5,0,False,Baldwin's[Title/Abstract] AND Method[Title/Abstract]
Baldwin Method,"""Method of Baldwin""",title/abstract,36,0,False,Method[Title/Abstract] AND Baldwin[Title/Abstract]
Bang Method,"""Bang Method""",title/abstract,133,0,False,Bang[Title/Abstract] AND Method[Title/Abstract]
Bang Method,"""Bang's Method""",title/abstract,0,0,False,Bang's[Title/Abstract] AND Method[Title/Abstract]
Bang Method,"""Method of Bang""",title/abstract,133,0,False,Method[Title/Abstract] AND Bang[Title/Abstract]
Barfoed Test,"""Barfoed Test""",title/abstract,0,0,False,Barfoed[Title/Abstract] AND Test[Title/Abstract]
Barfoed Test,"""Barfoed's Test""",title/abstract,0,0,False,Barfoed's[Title/Abstract] AND Test[Title/Abstract]
Barfoed Test,"""Test of Barfoed""",title/abstract,0,0,False,Test[Title/Abstract] AND Barfoed[Title/Abstract]
Barreswill test,"""Barreswill test""",title/abstract,1489563,0,False,test[Title/Abstract]
Barreswill test,"""Barreswill's test""",title/abstract,1489563,0,False,test[Title/Abstract]
Barreswill test,"""test of Barreswill""",title/abstract,1489563,0,False,test[Title/Abstract]
Bartley Method,"""Bartley Method""",title/abstract,17,0,False,Bartley[Title/Abstract] AND Method[Title/Abstract]
Bartley Method,"""Bartley's Method""",title/abstract,0,0,False,Bartley's[Title/Abstract] AND Method[Title/Abstract]
Bartley Method,"""Method of Bartley""",title/abstract,17,0,False,Method[Title/Abstract] AND Bartley[Title/Abstract]
Bayer-Drewsen Indigo Test,"""Bayer-Drewsen Indigo Test""",title/abstract,107,0,False,Indigo[Title/Abstract] AND Test[Title/Abstract]
Bayer-Drewsen Indigo Test,"""Bayer Drewsen Indigo Test""",title/abstract,0,0,False,Bayer[Title/Abstract] AND Indigo[Title/Abstract] AND Test[Title/Abstract]
Bayer-Drewsen Indigo Test,"""Bayer and Drewsen Indigo Test""",title/abstract,0,0,False,Bayer[Title/Abstract] AND Indigo[Title/Abstract] AND Test[Title/Abstract]
Bayer-Drewsen Indigo Test,"""Bayer's and Drewsen's Indigo Test""",title/abstract,0,0,False,Bayer's[Title/Abstract] AND Indigo[Title/Abstract] AND Test[Title/Abstract]
Bayer-Drewsen Indigo Test,"""Bayer and Drewsen's Indigo Test""",title/abstract,0,0,False,Bayer[Title/Abstract] AND Indigo[Title/Abstract] AND Test[Title/Abstract]
Bayer-Drewsen Indigo Test,"""Bayer Drewsen's Indigo Test""",title/abstract,0,0,False,Bayer[Title/Abstract] AND Indigo[Title/Abstract] AND Test[Title/Abstract]
Bayer-Drewsen Indigo Test,"""Bayer-Drewsen's Indigo Test""",title/abstract,107,0,False,Indigo[Title/Abstract] AND Test[Title/Abstract]
Bayer-Drewsen Indigo Test,"""Indigo Test of Bayer and Drewsen""",title/abstract,0,0,False,Indigo[Title/Abstract] AND Test[Title/Abstract] AND Bayer[Title/Abstract]
Bayer-Drewsen Indigo Test,"""Indigo Test of Bayer Drewsen""",title/abstract,0,0,False,Indigo[Title/Abstract] AND Test[Title/Abstract] AND Bayer[Title/Abstract]
Bayer-Drewsen Indigo Test,"""Indigo Test of Bayer-Drewsen""",title/abstract,107,0,False,Indigo[Title/Abstract] AND Test[Title/Abstract]
Beckman Cryoscope,"""Beckman Cryoscope""",title/abstract,0,0,False,Beckman[Title/Abstract] AND Cryoscope[Title/Abstract]
Beckman Cryoscope,"""Beckman's Cryoscope""",title/abstract,0,0,False,Beckman's[Title/Abstract] AND Cryoscope[Title/Abstract]
Beckman Cryoscope,"""Cryoscope of Beckman""",title/abstract,0,0,False,Cryoscope[Title/Abstract] AND Beckman[Title/Abstract]
Benedict Test,"""Benedict Test""",title/abstract,5,5,True,"""Benedict Test""[Title/Abstract]"
Benedict Test,"""Benedict's Test""",title/abstract,17,17,True,"""Benedict's Test""[Title/Abstract]"
Benedict Test,"""Test of Benedict""",title/abstract,93,0,False,Test[Title/Abstract] AND Benedict[Title/Abstract]
Berry test,"""Berry test""",title/abstract,239,0,False,Berry[Title/Abstract] AND test[Title/Abstract]
Berry test,"""Berry's test""",title/abstract,7,0,False,Berry's[Title/Abstract] AND test[Title/Abstract]
Berry test,"""test of Berry""",title/abstract,239,0,False,test[Title/Abstract] AND Berry[Title/Abstract]
Berthelot Reaction,"""Berthelot Reaction""",title/abstract,52,52,True,"""Berthelot Reaction""[Title/Abstract]"
Berthelot Reaction,"""Berthelot's Reaction""",title/abstract,14,14,True,"""Berthelot's Reaction""[Title/Abstract]"
Berthelot Reaction,"""Reaction of Berthelot""",title/abstract,77,0,False,Reaction[Title/Abstract] AND Berthelot[Title/Abstract]
Beutler Test,"""Beutler Test""",title/abstract,9,9,True,"""Beutler Test""[Title/Abstract]"
Beutler Test,"""Beutler's Test""",title/abstract,14,0,False,Beutler's[Title/Abstract] AND Test[Title/Abstract]
Beutler Test,"""Test of Beutler""",title/abstract,31,0,False,Test[Title/Abstract] AND Beutler[Title/Abstract]
Bird Tables,"""Bird Tables""",title/abstract,3,3,True,"""Bird Tables""[Title/Abstract]"
Bird Tables,"""Bird's Tables""",title/abstract,1,0,False,Bird's[Title/Abstract] AND Tables[Title/Abstract]
Bird Tables,"""Tables of Bird""",title/abstract,20,0,False,Tables[Title/Abstract] AND Bird[Title/Abstract]
Black Method,"""Black Method""",title/abstract,13,13,True,"""Black Method""[Title/Abstract]"
Black Method,"""Black's Method""",title/abstract,11,0,False,Black's[Title/Abstract] AND Method[Title/Abstract]
Black Method,"""Method of Black""",title/abstract,10681,0,False,Method[Title/Abstract] AND Black[Title/Abstract]
Boas Test,"""Boas Test""",title/abstract,23,0,False,Boas[Title/Abstract] AND Test[Title/Abstract]
Boas Test,"""Boas' Test""",title/abstract,0,0,False,Boas'[Title/Abstract] AND Test[Title/Abstract]
Boas Test,"""Boas's Test""",title/abstract,1,0,False,Boas's[Title/Abstract] AND Test[Title/Abstract]
Boas Test,"""Test of Boas""",title/abstract,23,0,False,Test[Title/Abstract] AND Boas[Title/Abstract]
Bodansky Method,"""Bodansky Method""",title/abstract,3,0,False,Bodansky[Title/Abstract] AND Method[Title/Abstract]
Bodansky Method,"""Bodansky's Method""",title/abstract,0,0,False,Bodansky's[Title/Abstract] AND Method[Title/Abstract]
Bodansky Method,"""Method of Bodansky""",title/abstract,3,0,False,Method[Title/Abstract] AND Bodansky[Title/Abstract]
Bolton-Hunter Technique,"""Bolton-Hunter Technique""",title/abstract,4,4,True,"""Bolton-Hunter Technique""[Title/Abstract]"
Bolton-Hunter Technique,"""Bolton Hunter Technique""",title/abstract,4,4,True,"""Bolton Hunter Technique""[Title/Abstract]"
Bolton-Hunter Technique,"""Bolton and Hunter Technique""",title/abstract,37,0,False,Bolton[Title/Abstract] AND Hunter[Title/Abstract] AND Technique[Title/Abstract]
Bolton-Hunter Technique,"""Bolton's and Hunter's Technique""",title/abstract,0,0,False,Bolton's[Title/Abstract] AND Hunter's[Title/Abstract] AND Technique[Title/Abstract]
Bolton-Hunter Technique,"""Bolton and Hunter's Technique""",title/abstract,0,0,False,Bolton[Title/Abstract] AND Hunter's[Title/Abstract] AND Technique[Title/Abstract]
Bolton-Hunter Technique,"""Bolton Hunter's Technique""",title/abstract,0,0,False,Bolton[Title/Abstract] AND Hunter's[Title/Abstract] AND Technique[Title/Abstract]
Bolton-Hunter Technique,"""Bolton-Hunter's Technique""",title/abstract,0,0,False,Bolton-Hunter's[Title/Abstract] AND Technique[Title/Abstract]
Bolton-Hunter Technique,"""Technique of Bolton and Hunter""",title/abstract,37,0,False,Technique[Title/Abstract] AND Bolton[Title/Abstract] AND Hunter[Title/Abstract]
Bolton-Hunter Technique,"""Technique of Bolton Hunter""",title/abstract,37,0,False,Technique[Title/Abstract] AND Bolton[Title/Abstract] AND Hunter[Title/Abstract]
Bolton-Hunter Technique,"""Technique of Bolton-Hunter""",title/abstract,33,0,False,Technique[Title/Abstract] AND Bolton-Hunter[Title/Abstract]
Boston Method,"""Boston Method""",title/abstract,935,0,False,Boston[Title/Abstract] AND Method[Title/Abstract]
Boston Method,"""Boston's Method""",title/abstract,9,0,False,Boston's[Title/Abstract] AND Method[Title/Abstract]
Boston Method,"""Method of Boston""",title/abstract,935,0,False,Method[Title/Abstract] AND Boston[Title/Abstract]
Bottger Test,"""Bottger Test""",title/abstract,0,0,False,Bottger[Title/Abstract] AND Test[Title/Abstract]
Bottger Test,"""Bottger's Test""",title/abstract,0,0,False,Bottger's[Title/Abstract] AND Test[Title/Abstract]
Bottger Test,"""Test of Bottger""",title/abstract,0,0,False,Test[Title/Abstract] AND Bottger[Title/Abstract]
Bowers-McComb Method,"""Bowers-McComb Method""",title/abstract,2134555,0,False,Method[Title/Abstract]
Bowers-McComb Method,"""Bowers McComb Method""",title/abstract,1,0,False,Bowers[Title/Abstract] AND McComb[Title/Abstract] AND Method[Title/Abstract]
Bowers-McComb Method,"""Bowers and McComb Method""",title/abstract,1,0,False,Bowers[Title/Abstract] AND McComb[Title/Abstract] AND Method[Title/Abstract]
Bowers-McComb Method,"""Bowers' and McComb's Method""",title/abstract,0,0,False,Bowers'[Title/Abstract] AND McComb's[Title/Abstract] AND Method[Title/Abstract]
Bowers-McComb Method,"""Bowers's and McComb's Method""",title/abstract,0,0,False,Bowers's[Title/Abstract] AND McComb's[Title/Abstract] AND Method[Title/Abstract]
Bowers-McComb Method,"""Bowers and McComb's Method""",title/abstract,0,0,False,Bowers[Title/Abstract] AND McComb's[Title/Abstract] AND Method[Title/Abstract]
Bowers-McComb Method,"""Bowers McComb's Method""",title/abstract,0,0,False,Bowers[Title/Abstract] AND McComb's[Title/Abstract] AND Method[Title/Abstract]
Bowers-McComb Method,"""Bowers-McComb's Method""",title/abstract,2134555,0,False,Method[Title/Abstract]
Bowers-McComb Method,"""Method of Bowers and McComb""",title/abstract,1,0,False,Method[Title/Abstract] AND Bowers[Title/Abstract] AND McComb[Title/Abstract]
Bowers-McComb Method,"""Method of Bowers McComb""",title/abstract,1,0,False,Method[Title/Abstract] AND Bowers[Title/Abstract] AND McComb[Title/Abstract]
Bowers-McComb Method,"""Method of Bowers-McComb""",title/abstract,2134555,0,False,Method[Title/Abstract]
Bratton-Marshall Method,"""Bratton-Marshall Method""",title/abstract,12,12,True,"""Bratton-Marshall Method""[Title/Abstract]"
Bratton-Marshall Method,"""Bratton Marshall Method""",title/abstract,12,12,True,"""Bratton Marshall Method""[Title/Abstract]"
Bratton-Marshall Method,"""Bratton and Marshall Method""",title/abstract,60,0,False,Bratton[Title/Abstract] AND Marshall[Title/Abstract] AND Method[Title/Abstract]
Bratton-Marshall Method,"""Bratton's and Marshall's Method""",title/abstract,0,0,False,Bratton's[Title/Abstract] AND Marshall's[Title/Abstract] AND Method[Title/Abstract]
Bratton-Marshall Method,"""Bratton and Marshall's Method""",title/abstract,1,0,False,Bratton[Title/Abstract] AND Marshall's[Title/Abstract] AND Method[Title/Abstract]
Bratton-Marshall Method,"""Bratton Marshall's Method""",title/abstract,1,0,False,Bratton[Title/Abstract] AND Marshall's[Title/Abstract] AND Method[Title/Abstract]
Bratton-Marshall Method,"""Bratton-Marshall's Method""",title/abstract,1,0,False,Bratton-Marshall's[Title/Abstract] AND Method[Title/Abstract]
Bratton-Marshall Method,"""Method of Bratton and Marshall""",title/abstract,60,0,False,Method[Title/Abstract] AND Bratton[Title/Abstract] AND Marshall[Title/Abstract]
Bratton-Marshall Method,"""Method of Bratton Marshall""",title/abstract,60,0,False,Method[Title/Abstract] AND Bratton[Title/Abstract] AND Marshall[Title/Abstract]
Bratton-Marshall Method,"""Method of Bratton-Marshall""",title/abstract,54,0,False,Method[Title/Abstract] AND Bratton-Marshall[Title/Abstract]
Braun Test,"""Braun Test""",title/abstract,160,0,False,Braun[Title/Abstract] AND Test[Title/Abstract]
Braun Test,"""Braun's Test""",title/abstract,5,0,False,Braun's[Title/Abstract] AND Test[Title/Abstract]
Braun Test,"""Test of Braun""",title/abstract,160,0,False,Test[Title/Abstract] AND Braun[Title/Abstract]
Brdicka Reaction,"""Brdicka Reaction""",title/abstract,36,36,True,"""Brdicka Reaction""[Title/Abstract]"
Brdicka Reaction,"""Brdicka's Reaction""",title/abstract,6,6,True,"""Brdicka's Reaction""[Title/Abstract]"
Brdicka Reaction,"""Reaction of Brdicka""",title/abstract,39,0,False,Reaction[Title/Abstract] AND Brdicka[Title/Abstract]
Bremmers Diabetic Urine Test,"""Bremmers Diabetic Urine Test""",title/abstract,759,0,False,Diabetic[Title/Abstract] AND Urine[Title/Abstract] AND Test[Title/Abstract]
Bremmers Diabetic Urine Test,"""Bremmers' Diabetic Urine Test""",title/abstract,759,0,False,Diabetic[Title/Abstract] AND Urine[Title/Abstract] AND Test[Title/Abstract]
Bremmers Diabetic Urine Test,"""Bremmers's Diabetic Urine Test""",title/abstract,759,0,False,Diabetic[Title/Abstract] AND Urine[Title/Abstract] AND Test[Title/Abstract]
Bremmers Diabetic Urine Test,"""Diabetic Urine Test of Bremmers""",title/abstract,759,0,False,Diabetic[Title/Abstract] AND Urine[Title/Abstract] AND Test[Title/Abstract]
Bucolo-David Method,"""Bucolo-David Method""",title/abstract,2134555,0,False,Method[Title/Abstract]
Bucolo-David Method,"""Bucolo David Method""",title/abstract,2,0,False,Bucolo[Title/Abstract] AND David[Title/Abstract] AND Method[Title/Abstract]
Bucolo-David Method,"""Bucolo and David Method""",title/abstract,2,0,False,Bucolo[Title/Abstract] AND David[Title/Abstract] AND Method[Title/Abstract]
Bucolo-David Method,"""Bucolo's and David's Method""",title/abstract,16,0,False,David's[Title/Abstract] AND Method[Title/Abstract]
Bucolo-David Method,"""Bucolo and David's Method""",title/abstract,0,0,False,Bucolo[Title/Abstract] AND David's[Title/Abstract] AND Method[Title/Abstract]
Bucolo-David Method,"""Bucolo David's Method""",title/abstract,0,0,False,Bucolo[Title/Abstract] AND David's[Title/Abstract] AND Method[Title/Abstract]
Bucolo-David Method,"""Bucolo-David's Method""",title/abstract,2134555,0,False,Method[Title/Abstract]
Bucolo-David Method,"""Method of Bucolo and David""",title/abstract,2,0,False,Method[Title/Abstract] AND Bucolo[Title/Abstract] AND David[Title/Abstract]
Bucolo-David Method,"""Method of Bucolo David""",title/abstract,2,0,False,Method[Title/Abstract] AND Bucolo[Title/Abstract] AND David[Title/Abstract]
